"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1040","Rv1903",-1.04265334566667,2.11713660138462,-3.77709369482314,0.0014928793528047,0.0462533718556832,-1.16600913396576
"3305","Rv3914",-0.80959504875,2.63853443284615,-3.77131906053263,0.00151175687301286,0.0465690622951089,-1.17807141407173
"1779","Rv0250c",0.8181536225,2.07764439084615,3.76599802110318,0.00152936304809699,0.0468422053588562,-1.18918532618049
"3230","Rv3846",-0.736532220777778,0.946204238923077,-3.76116106666878,0.00154554550500874,0.0468914188164775,-1.19928738799425
"4994",NA,-1.01026837408333,4.02221775207692,-3.7577761362184,0.00155697190422394,0.0468914188164775,-1.20635643497938
"4777",NA,1.14844990236111,2.16940809838462,3.75657294730964,0.00156105380268968,0.0468914188164775,-1.20886907154221
"5071",NA,-0.653450162166666,2.03239077069231,-3.75306547558732,0.00157301434509455,0.0468914188164775,-1.21619350678327
"4531",NA,-1.46763507158333,2.06698718169231,-3.75256984685491,0.00157471182592648,0.0468914188164775,-1.21722846500002
"645","Rv1545",-0.554605334527778,1.74647578046154,-3.74940219298704,0.0015856041091668,0.0469007059279967,-1.22384288004745
"4018",NA,-0.934073332055556,3.09050470753846,-3.74740107339949,0.00159252396994317,0.0469007059279967,-1.22802126830722
"2967","Rv3614c",-0.694172219,1.079584371,-3.7406472230322,0.00161610256627906,0.0473350259850041,-1.24212247037148
"2981","Rv3627c",-0.695099975972222,0.902034992461539,-3.73700799335774,0.00162895204952121,0.0474520814425743,-1.24972007274118
"4112",NA,-0.710703267055556,2.81202675876923,-3.71445008722575,0.00171091097745594,0.0495701775089937,-1.2968032810862
"2472","Rv3166c",-0.540813170694444,1.37419529007692,-3.70812810169429,0.00173461124262756,0.0499123398526648,-1.30999511498774
"4002",NA,-0.693289644666667,1.84223659,-3.70513663611885,0.00174593992115958,0.0499123398526648,-1.31623672535049
"2574","Rv3254",0.622363162083334,1.24212923076923,3.70389683337465,0.00175065669632481,0.0499123398526648,-1.31882343235289
"4667",NA,-0.859230362055556,1.61525284738462,-3.70072856952001,0.00176276814117561,0.049991731411118,-1.32543336512524
"2802","Rv3462c",-1.70408440930556,4.04089284484615,-3.6976030740227,0.00177479812090751,0.0500679890950751,-1.33195366009735
"3066","Rv3700c",0.712453362916667,1.43844355130769,3.69130026692292,0.00179930755892766,0.0504936571510589,-1.34510108569601
"939","Rv0177",-0.701306946472222,1.05517988853846,-3.68311358098161,0.00183164819396983,0.0511335120816577,-1.36217563613412
"2759","Rv3423c",-0.627208942444445,1.16069161446154,-3.67868194554457,0.00184939641473807,0.0513614755595651,-1.37141722488338
"5327",NA,0.848432092694444,1.79274994892308,3.66685817985108,0.00189759403936137,0.0523863035562215,-1.39606970442867
"5077",NA,-0.502659520027778,2.40361480192308,-3.66486416347407,0.00190584499878045,0.0523863035562215,-1.4002265684842
"697","Rv0156",-0.779244487138889,1.40924087961538,-3.65548329788929,0.00194514474234009,0.0529240485064003,-1.41977998598784
"336","Rv1278",-0.570421849638889,1.17834934538462,-3.65548057634244,0.00194515626040315,0.0529240485064003,-1.41978565813663
"1302","Rv2138",-0.866880414888889,1.31783723946154,-3.6419725586459,0.00200317115007229,0.0542272594160983,-1.44793397642591
"3252","Rv3866",-0.853212650027778,1.68746979246154,-3.63858535647395,0.00201798735194493,0.0543055188023531,-1.45499083524826
"4386",NA,-0.656652674305555,1.85078123015385,-3.63669006269774,0.00202632532844601,0.0543055188023531,-1.45893920599043
"4284",NA,-0.768647675638889,1.71579394323077,-3.63032601448935,0.00205457490137944,0.0547866523363378,-1.47219571062704
"4241",NA,-0.742136879916667,1.37740536553846,-3.62588116238051,0.00207453788801651,0.0547866523363378,-1.48145317508767
"266","Rv1217c",-0.674272285194444,2.512702448,-3.62579157208612,0.00207494224333518,0.0547866523363378,-1.4816397571426
"2444","Rv3140",-0.550893438972223,1.28535700030769,-3.60874173892894,0.00215334249463377,0.0565780184864559,-1.51713981604548
"5040",NA,-0.727347034166667,1.89907498876923,-3.59903918130668,0.00219926858778161,0.0575028274658997,-1.53733438353772
"4231",NA,-0.682618271222222,1.56974863992308,-3.59321125981006,0.00222732223019323,0.0579536269603675,-1.54946172316509
"4470",NA,-0.664266179722221,2.40973731453846,-3.58771114569075,0.00225412474761984,0.0583676746243593,-1.5609050325847
"961","Rv0179c",-0.622849319166667,1.24830910969231,-3.58328881551322,0.00227590789584522,0.0583889762807138,-1.57010459370461
"1248","Rv2088",0.644388453305555,1.39436244830769,3.58312186578765,0.00227673433631888,0.0583889762807138,-1.57045186729267
"4693",NA,-0.762517616472223,1.60727908384615,-3.57719400995514,0.0023062730838881,0.0585032808037257,-1.58278131300638
"3123","Rv3750c",-1.34471326811111,3.06762399853846,-3.5758905731524,0.0023128191621494,0.0585032808037257,-1.58549205349084
"4584",NA,-0.458396131944445,1.22732247723077,-3.57402281144956,0.00232223163005102,0.0585032808037257,-1.58937622331293
"4856",NA,-1.00644546105556,1.82774611492308,-3.57350447153847,0.00232485052447641,0.0585032808037257,-1.5904541156132
"3635","Rv0666",-0.800579708694445,2.05448603361538,-3.56994624519086,0.00234290787275064,0.0586385494161447,-1.59785300877921
"922","Rv1797",-0.554678218750001,1.64555329615385,-3.56814422212653,0.00235210599337148,0.0586385494161447,-1.60159977950675
"382","Rvnr03",-1.97288059744444,6.82358908738462,-3.56265391530745,0.00238035247176537,0.0588602988198404,-1.61301392311009
"245","Rv1198",-0.524682803,2.19704415646154,-3.56040900331303,0.00239199907249824,0.0588602988198404,-1.6176804358285
"2469","Rv3163c",0.839667264138889,1.52023821869231,3.56003498360796,0.0023939449893144,0.0588602988198404,-1.61845788021983
"4058",NA,-0.866503184833334,1.59633870623077,-3.55572166243787,0.0024165001009225,0.0591435641139022,-1.62742295079276
"97","Rv1065",-0.710887767555556,2.21693165815385,-3.55181255811893,0.00243712406301956,0.0593772044444765,-1.63554678275589
"4458",NA,0.684297210027777,2.28119286407692,3.5475713719576,0.00245969812923635,0.0595049001950081,-1.64435955606371
"5083",NA,-1.05871180813889,4.45743792753846,-3.54498841009651,0.00247354793357079,0.0595049001950081,-1.64972608979981
"2639","Rv3312b",0.661747240194444,2.020484297,3.54459386656557,0.00247567028796396,0.0595049001950081,-1.65054577879138
"1541","Rv2346c",-0.541917793972222,2.21467303738462,-3.54198182359534,0.00248976691739635,0.0595765655234127,-1.65597218716358
"2884","Rv3537",-0.539341309166667,0.771181484384615,-3.53367294516457,0.00253514107298983,0.0603926940054466,-1.67323031791111
